"id","english","nepali","domain","context","register","source","license","quality_tier","native_review_required","notes"
"162","Please sit down.","बस न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"163","Please stand here.","कृपया यहाँ उभिनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"164","Please stand here.","यहाँ उभिऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"165","What time is it?","अहिले कति बज्यो?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"166","What time is it?","अहिले कति बज्यो?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"167","When will it arrive?","यो कहिले आइपुग्छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"168","When will it arrive?","यो कहिले आइपुग्छ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"169","I will come tomorrow.","म भोलि आउनेछु।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"170","I will come tomorrow.","म भोलि आउँछु।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"171","I came yesterday.","म हिजो आएको थिएँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"172","I came yesterday.","म हिजो आएको थिएँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"173","Where do you live?","तपाईं कहाँ बस्नुहुन्छ?","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"174","Where do you live?","तिमी कहाँ बस्छौ?","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"175","I live in Kathmandu.","म काठमाडौंमा बस्छु।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"176","I live in Kathmandu.","म काठमाडौंमा बस्छु।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"177","Please call me.","कृपया मलाई फोन गर्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"178","Please call me.","मलाई फोन गर न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"179","Send me a message.","कृपया मलाई सन्देश पठाउनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"180","Send me a message.","मलाई सन्देश पठाऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"181","The network is not working.","नेटवर्कले काम गरिरहेको छैन।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"182","The network is not working.","नेटवर्क चलेको छैन।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"183","My phone has no battery.","मेरो फोनको ब्याट्री सकिएको छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"184","My phone has no battery.","मेरो फोनको ब्याट्री सकियो।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"185","Please pass the phone.","कृपया फोन अर्को व्यक्तिलाई दिनुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"186","Please pass the phone.","फोन अर्कोलाई देऊ न।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"187","I have finished speaking.","मैले बोलिसकेँ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"188","I have finished speaking.","मैले बोलिसकेँ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"189","Please try again.","कृपया फेरि प्रयास गर्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"190","Please try again.","फेरि प्रयास गर।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"191","The translation is loading.","अनुवाद तयार हुँदैछ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"192","The translation is loading.","अनुवाद लोड हुँदैछ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"193","Please check the translation.","कृपया अनुवाद जाँच गर्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"194","Please check the translation.","अनुवाद जाँच गर।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"195","That translation is wrong.","त्यो अनुवाद गलत छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"196","That translation is wrong.","त्यो अनुवाद गलत छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"197","That translation is correct.","त्यो अनुवाद सही छ।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"198","That translation is correct.","त्यो अनुवाद सही छ।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"199","Please use formal language.","कृपया औपचारिक भाषा प्रयोग गर्नुहोस्।","common_conversation","phrasebook","formal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
"200","Please use formal language.","औपचारिक भाषा प्रयोग गर।","common_conversation","phrasebook","informal","assistant_curated","user_project_seed","gold_candidate","true","Requires independent native-speaker review."
